id,title,tempo,zero_crossing_rating,pitch,loudness,length
1474,추격자,126.0480183,44058,793.8302513,4423104,793.8302513
1475,Man In Love (남자가 사랑할때),123.046875,44162,714.0926024,4348800,714.0926024
1476,오늘은 가지마 (Duet Ver.),123.046875,22108,568.618704,5359992,568.618704
1477,진짜일 리 없어,198.7680288,25313,650.7040658,4267032,650.7040658
1478,소주 한 잔,161.4990234,15691,481.93055,6416640,481.93055
1479,샤이닝,117.4538352,8883,338.4659133,4575192,338.4659133
1480,"스물다섯, 스물하나",139.6748311,12632,473.8355159,6281856,473.8355159
1481,팬이야,92.28515625,29216,803.2215651,6068760,803.2215651
1482,미안해 널 미워해,129.1992188,39582,1086.594679,5186328,1086.594679
1483,IDOL,147.65625,25977,752.389518,3951936,752.389518
1484,피터의 노래,75.99954044,18701,561.2274304,5180544,561.2274304
1485,뜨거운 여름밤은 가고 남은 건 볼품없지만,114.84375,12058,407.5182538,5358264,407.5182538
1486,사랑하긴 했었나요 스쳐가는 인연이었나요 짧지않은 우리 함께했던 시간들이 자꾸 내 마음을 가둬두네,172.265625,28719,578.8772362,4446720,578.8772362
1487,타투 (Tattoo),80.74951172,17803,338.4975716,4168824,338.4975716
1488,잘 지내,143.5546875,9499,424.805287,4665336,424.805287
1489,Lullaby,161.4990234,5932,301.0797496,4406712,301.0797496
1490,BIRTHDAY,90.66611842,27502,977.2846025,4096824,977.2846025
1491,Is this bad b****** number? (Feat. 비비 (BIBI) & 이영지),178.205819,43323,629.9931752,3645600,629.9931752
1492,눈사람,151.9990809,7573,403.178237,5205624,403.178237
1493,너였다면,135.9991776,15281,417.4573523,6016056,417.4573523
1494,십이월 이십오일의 고백,70.79409247,30603,476.7106412,5650296,476.7106412
1495,하늘바라기 (Feat. 하림),92.28515625,29098,553.6546292,4862328,553.6546292
1496,우리 사랑 이대로,120.1853198,15881,474.8016642,5696064,474.8016642
1497,장마,126.0480183,40858,725.9267916,5700672,725.9267916
1498,미워요,129.1992188,11871,593.7752245,4475544,593.7752245
1499,안아줘,86.1328125,14248,412.1421585,6062976,412.1421585
